areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,coolElectricEquivalentEfficiency,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,lpd,opaqueConduction,q50,roofWallRatio,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio,irr_north,irr_north_east,irr_east,irr_south_east,irr_south,irr_south_west,irr_west,irr_north_west,irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_east,cool_irr_south_east,cool_irr_south,cool_irr_south_west,cool_irr_west,cool_irr_north_west,cool_irr_horizontal,BER,SER
0,0.82408991,0.17591009,0.00E+00,2.279,0.717637131,0,3.213042939,0.762531646,0.048607595,0.58610996,7.646947082,6.798763728,0,0,4.17721519,1.863564905,8.833950103,0,0,0.237468354,0.00E+00,27.76208608,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.775,41.4272
0,0.892167749,0.107832251,0.00E+00,2.279,0.475925036,0,2.43162996,0.775012013,0.04750024,0.244202009,7.816950885,25.16299888,0,0,9.530067615,1.591060865,9.900401575,0,0,0.224987987,0.00E+00,47.23362989,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.978,44.0569
0,1,0.00E+00,0.00E+00,2.279,0.66748209,0,2.511424078,1,6.533961209,0,7.816950885,22.30194154,0,0,6.798982513,1.733452156,15.35166396,0,0,0.00E+00,0.00E+00,36.25693545,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.924,107.381
0,1,0.00E+00,0.00E+00,2.421,0.778395326,0,2.795805615,1,0.274598831,0,6.705064678,16.76126282,0,0,3.291000245,0.698951404,12.70989136,0,0,0.00E+00,0.00E+00,356.9593245,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.536,69.6603
1268.08,0.776638731,0.00E+00,0.223361269,2.397446626,0.875026179,6.92260961,1.613333125,1,0.158707851,0.00E+00,6.815532132,36.27331103,692.6946911,689.417157,0.871453934,1.499478911,16.43651349,0.327217839,1.210031532,0.00E+00,0.854274777,237.6049149,0.737719033,0.288838244,34.44142973,8.658605816,107.7325807,12.15668257,91.17337903,0,133.5596314,0,301.6948478,34.07313469,10.30706463,103.1733128,14.47111875,76.56289709,0.00E+00,148.6915333,0.00E+00,305.4156299,84.5554,37.1454
0,1,0.00E+00,0.00E+00,2.279,0.604957102,0,2.35111001,1,0.048396568,0,7.816950885,25.62606636,0,0,8.962046586,1.363643806,16.84090731,0,0,0.00E+00,0.00E+00,46.82945319,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.371,47.0658
91.65,0.867881355,0.070146826,0.06197182,2.279,0.733705556,0,3.090989329,0.821139157,0.073666783,0.297457335,7.816950885,9.527828401,801.2232509,786.2305734,2.247480622,1.547090486,9.967771547,0.737813251,0,0.178860843,0.00E+00,251.0576595,0.35535652,0.00E+00,0,0,94.0227579,0,39.80872885,0,0,0,652.3990867,0.00E+00,0.00E+00,90.94189547,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,710.2813555,186.838,62.5443
30.6,0.628960357,0.346680465,0.024359178,2.471,0.565954497,0,2.552854787,0.878868091,0.067030945,1.533338638,6.64937066,23.24765182,0,691,2.417109266,0.52,15.69727085,0.00E+00,0,0.121131909,0.00E+00,194.5720794,0.096426546,0.00E+00,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,89.1025,49.9115
0,0.774510174,0.225489826,0.00E+00,2.279,0.757896125,0,2.904542918,0.923357584,0.066850122,1.132989747,7.816950885,13.58451522,0,0,1.229767423,0,11.69977224,0,0,0.076642416,0.00E+00,262.8385283,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4967,59.5329
223.2,0.709356615,0.068449922,0.222193464,2.279,0.929295452,12.369428,3.281681198,0.96012072,0.067658237,0.144607011,7.735058512,5.342390421,572.6262976,572.6262976,0.735155962,1.48827185,8.196332506,0.00E+00,2.42208,0.03987928,0.00E+00,1079.216675,0.464564471,0.228494624,0,87.19031142,0,0,0,167.8927336,0,317.5432526,0,0.00E+00,87.19031142,0.00E+00,0.00E+00,0.00E+00,167.8927336,0.00E+00,317.5432526,0.00E+00,119.748,72.7678
