areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,ber,coolElectricEquivalentEfficiency,cool_irr_east,cool_irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_north_west,cool_irr_south,cool_irr_south_east,cool_irr_south_west,cool_irr_west,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,irr_east,irr_horizontal,irr_north,irr_north_east,irr_north_west,irr_south,irr_south_east,irr_south_west,irr_west,lpd,opaqueConduction,q50,roofWallRatio,ser,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio
0,1,0.00E+00,0.00E+00,22.5513,0,0,0,0,0,0,0,0,0,0,0,0,1.746819444,1,0,0.00E+00,0,29.92272685,0,0,0,0,0,0,0,0,0,0,0,0.6875,1.013155278,14.31172528,0,8.85745,0,0,0,9,0,0
35.51,0,0,1,39.4456,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56056837,0,0,0.00E+00,9.13831,0,1,0.00E+00,0.00E+00,1.766666667,0.00E+00
304.5861,0.33518247,0.508728472,0.156089058,15.7939,1.775,42.6047089,0.00E+00,91.90291482,0.00E+00,0.00E+00,304.4131718,0.00E+00,0.00E+00,0.00E+00,0.476604367,19.288206,3.048889178,0.480230643,0.000685039,2.983273234,11.80101073,4.373709819,438.9207955,438.9207955,42.6047089,0,91.90291482,0,0,304.4131718,0,0,0,0.107788779,1.75889694,8.153841614,0.770260519,9.46879,2.6061,0.519769357,0.00E+00,2.183924686,0.144192325,0.122856558
2481.8203,0.219195207,0.135209898,0.645594895,14.0166,1.775,0.00E+00,388.9095293,0.00E+00,289.0946153,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.004327589,6.773238333,2.016070498,0.116107812,0.000323704,1.229537354,12.88633208,22.16852073,678.0041447,718.8015413,0,388.8350752,0,85.84799429,55.22432514,0,123.9148276,64.97931903,0,0.098783929,2.452591679,12.41049316,0.571760562,10.3072,1.44282,0.883892188,0.00E+00,0.145432972,0.575270457,0.006105277
60.7,0.326029798,0.141980719,0.531989483,46.6392,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.642304,0.8,0.248674131,0.043763504,2.435943128,0,61.40625,0,819.4,0,502.285,0,0,0,0,0,317.115,0,1.908213941,0.802604651,31.25,0.398414272,10.3362,0.1024,0.751325869,0.00E+00,0.089856453,1.192300137,0.00E+00
6658.7833,0.79298774,0.054603199,0.152409061,18.8052,1.692,132.5664012,253.7934645,52.71150327,26.93783021,0.00E+00,100.7804607,0.00E+00,0.00E+00,117.4062793,0.183636731,4.756836833,2.166887167,0.187566602,0,0.162176998,13.2734213,19.77855002,684.1959392,701.3917072,136.7248745,296.534326,46.67000506,28.28310764,0,89.22956697,0,0,103.949827,0.027419866,0.604426738,4.719941248,0.501877856,10.3694,1.48239375,0.812433398,0.183636731,486.8629194,0.132089049,0.00E+00
56,0.224168126,0.285464098,0.490367776,52.2007,0,0,0,0,0,0,0,0,0,0,0.00E+00,1.197913043,0.8,0.212998891,0.014356984,3.815089135,0,61.40625,0,690,0,0,0,0,0,0,690,0,0,1.428469026,0.752380952,31.25,0.391965255,10.4631,0.246724638,0.787001109,0.00E+00,0.688722256,0.776053215,0.123214286
72.73,0.267320852,0.292812323,0.439866824,44.0636,0,0,0,0,0,0,0,0,0,0,0.00E+00,5.0328,0.8,0.071483029,0.005660651,1.805055017,0,59.375,0,632.884665,0,396.3567929,0,236.5278721,0,0,0,0,0,0.900378322,1.763696733,31.25,0.81846473,11.1946,0.68,0.928516971,0.00E+00,0.521769998,0.221798664,0.027353224
2282.0541,0.316681373,0.005532381,0.677786246,18.7788,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.8,0.011611523,0.027014158,0.013695465,0,59.375,0,823,0,823,0,0,0,0,0,0,0,0.126585673,0.180799217,12.5,0.278915869,11.6606,0.00E+00,0.988388477,0.00E+00,3.958418351,0.090197164,0.202506154
0,0.293003479,0.706996521,0.00E+00,49.0895,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.764221636,0,59.375,0,0,0,0,0,0,0,0,0,0,0,0.23395232,0,18.75,0,12.374,0,0.00E+00,0.00E+00,68.22,0.00E+00,0
67.5296,0.126033927,0.537562095,0.336403978,37.5834,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.899555556,0.8,0.327433028,0.059979654,1.654739022,0,61.40625,0,565.9247136,310.6382979,0,101.0474632,0,0,154.2389525,0,0,0,0.776215073,0.485702398,43.75,0.588584351,12.5792,0.20717037,0.672566972,0.00E+00,0,0.457983045,0.068118277
10.2,0.771689498,0.111872146,0.116438356,46.0601,0,0,0,0,0,0,0,0,0,0,0.00E+00,3.9656,0.8,0.401726428,0.049767596,0.550743802,0,61.40625,0,758,0,0,0,0,0,0,0,0,758,0.63105742,0.89963482,31.25,0.00E+00,13.4914,0.68,0.598273572,0.00E+00,2.788043127,0.169322709,0.31372549
0,0,0,0,49.4096,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.00E+00,0,59.375,0,0,0,0,0,0,0,0,0,0,0,0.034123528,0.312998976,31.25,0,13.5322,0,0.00E+00,0.00E+00,0,0.00E+00,0
0,0.915492958,0.084507042,0.00E+00,26.3515,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,0.470687902,0.027651644,0.199049676,0,61.40625,0,0,0,0,0,0,0,0,0,0,0,2.448416733,0,18.75,0,13.9432,0,0.529312098,0.00E+00,2.202952965,0.00E+00,0
33.7,0.871275783,0.00E+00,0.128724217,33.9615,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.999111111,1,0,0.00E+00,0,22.84669255,0,521,0,0,0,521,0,0,0,0,0,0.460463846,0.941272192,12.50555803,0.00E+00,13.9723,0,0.00E+00,0.00E+00,0,0.531965272,0.00E+00
24.6,0.87958884,0.00E+00,0.12041116,26.2286,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.737208333,1,0,0.00E+00,0,30.25473793,0,739,739,0,0,0,0,0,0,0,0,0.646357662,0.78174375,8.634542969,0.00E+00,14.2625,0,0.00E+00,0.00E+00,0,0.515939597,0.00E+00
153.3,0.00E+00,0.086412396,0.913587604,30.1001,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.098212987,0.8,0.007802731,0.105658981,12.1874359,0,61.40625,0,695,0,0,0,0,0,0,0,695,0,0.947409186,0.782688525,31.25,0.573099415,14.2795,0.022441558,0.992197269,0.00E+00,0,0.766768369,0.020874103
0,1,0.00E+00,0.00E+00,46.7614,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.00E+00,0,45.15625,0,0,0,0,0,0,0,0,0,0,0,1.112073112,0.352535231,31.25,0,14.3301,0,0.00E+00,0.00E+00,0,0.00E+00,0
1204.6,0.404893513,0.105511299,0.489595188,27.3144,2.270722479,0.00E+00,272.0788091,0.00E+00,93.40338587,8.769410391,0.00E+00,97.12434326,247.4772329,0.00E+00,0.090909557,12.85846641,2.124641775,0.209163683,0.124334824,0.712195925,7.62417605,29.69026664,718.8531816,706.665921,0,295.5075317,0,121.3273676,18.46830723,0,59.99194631,211.3707681,0,2.008003344,2.323453607,17.34236747,0.340812083,14.4316,2.151515049,0.790836317,0.041613529,3.817626667,0.616955785,0.051303337
32,0.872459147,0.00E+00,0.127540853,23.6533,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.821305556,1,0,0.00E+00,0,27.52526942,0,846,0,0,0,0,0,0,0,0,846,0.359588085,0.8195875,8.235850352,0,14.5249,0,0.00E+00,0.00E+00,0,0.509148767,0
180.6,0.030749937,0.098122445,0.871127618,28.0186,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.8,0.016822297,0.108149547,10.06864407,0,59.375,0,0,0,0,0,0,0,0,0,0,0,1.245106037,0.176,18.75,0.610465494,14.5945,0.00E+00,0.983177703,0.00E+00,0.142922233,0.64366669,0.1226268
347.1716,0.00E+00,0.055351618,0.944648382,28.7549,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.8,0.016822297,0.108149547,10.06864407,0,59.375,0,696,0,0,0,0,0,0,0,696,0,1.245106037,0.199105053,18.75,0.449110515,14.699,0.00E+00,0.983177703,0.00E+00,0.142922233,1.237335519,0.063790932
84.8,0.031280547,0.139784946,0.828934506,31.2328,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.120952381,0.8,0.027453496,0.053490058,5.417700935,0,61.40625,0,523,0,0,0,0,0,0,0,0,523,1.031462152,0.498306306,31.25,0.642345002,14.7471,0.020238095,0.972546504,0.00E+00,0,0.543938422,0.005896226
30.1,0.861418048,0.00E+00,0.138581952,34.483,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.999111111,1,0,0.00E+00,0,22.84669255,0,648,0,0,0,0,648,0,0,0,0,0.562266473,0.943629203,12.50555803,0.00E+00,14.7667,0,0.00E+00,0.00E+00,0,0.580185042,0.00E+00
165.4,0.00E+00,0.101086957,0.898913043,40.5177,0,0,0,0,0,0,0,0,0,0,0.00E+00,8.611341708,1.737208333,0.125978772,0.050852271,3.793544717,0,31.28976843,0,640.158215,117.6389452,271.1764706,62.80324544,0,0,0,0,0,188.5395538,1.993793863,2.282060038,14.39090495,0.410128388,14.7813,1.476627083,0.874021228,0.00E+00,3.611861771,1.439011658,0.003022975
99.2,0.00E+00,0.095715588,0.904284412,27.9469,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,0.022074815,0.053785885,1.986206897,0,61.40625,0,741.5609756,340.097561,401.4634146,0,0,0,0,0,0,0,1.199675455,0.710819672,31.25,0.484675325,14.7821,0,0.977925185,0.00E+00,0,1.078729883,0.00E+00
